;Verano;;Otoño;;Invierno;;Primavera;
;semanas 1-13;;Semanas 14-26;;Semanas 27-39;;Semanas 40-52;
Hora;Dsem;Fnsem;Dsem;Fnsem;Dsem;Fnsem;Dsem;Fnsem
0;8,025475738;8,961362452;7,467848666;7,070556413;10,88359398;12,20271978;10,85037452;11,4679189
1;7,150670434;8,080730365;6,730598015;6,388875072;9,742218735;11,09537247;9,836315498;10,23581966
2;6,799945583;7,66471334;6,490821657;5,883179272;9,249708157;10,40944691;9,299945289;9,680050077
3;6,801896307;7,614062151;6,490932296;5,751907838;9,187529868;10,12722986;9,343295437;9,737711251
4;6,530551233;7,247159866;6,401770801;5,694233037;9,019347881;10,04896012;9,162022305;9,53390301
5;6,308062451;7,045432655;6,37257105;5,390885394;9,225794495;10,20080909;9,125575564;9,513558189
6;6,462421249;7,234168318;6,625698167;5,405664089;9,353169178;10,1235947;8,928131753;9,069179326
7;5,661135798;7,134570968;6,757994501;5,388542026;9,370066838;9,539040501;7,943010645;7,605348833
8;6,088017308;6,932470775;6,078705413;4,834428072;8,670748671;10,38140852;7,328320454;6,725118067
9;6,328225217;6,961977459;6,148070348;6,326654055;7,603216798;9,378138452;5,712813963;6,028776684
10;6,554942785;6,485926688;6,660052968;6,937883213;7,774590546;8,962553852;5,087740882;4,455534676
11;6,250596225;6,224820144;7,632819539;8,126987421;8,439717346;8,710455738;4,902388633;4,467232631
12;6,277177511;6,206210093;6,957734995;7,119344256;8,072107081;8,88250857;5,520946161;5,11709151
13;5,687851584;6,062588399;6,054599227;6,132670556;7,992828611;8,934620484;5,220410962;5,782163996
14;5,916984256;5,798918182;5,965957469;6,35392058;8,834609935;9,622851991;5,225656098;5,708209401
15;6,430365395;6,096620204;6,971705099;7,152455905;10,00161357;10,00660176;6,140717392;6,835000317
16;7,769028288;7,213118742;7,573983681;7,75133142;10,63891069;10,98722239;7,539716148;7,465090866
17;8,458197913;7,728753312;7,761073514;7,487087957;11,38722827;11,94799086;8,726693741;8,522548008
18;9,290464855;9,313539745;11,33527829;10,65070298;16,28702626;16,00144233;10,53410076;10,01747209
19;10,29918397;9,864539527;13,35278428;12,86085127;18,72666724;19,20382801;12,63538907;11,61754272
20;12,59520799;12,6772147;14,27843315;13,92403011;18,48145172;19,03155805;15,61122857;14,40011008
21;13,27202973;13,70428161;13,0013571;12,84569018;17,31124428;18,3171186;15,36465374;15,04743612
22;12,63725743;12,66002749;11,8354894;11,56102838;15,38313623;16,40520354;14,44062562;14,25224099
23;10,26174306;11,17283556;8,877989165;8,867595523;12,59997539;13,82247528;12,85736032;13,24238037
